topic_id,name,description,keywords,users,message_count,created_at,updated_at
0246a691-19af-4c24-9742-9302dcb97672,SM Pro - Link Style Consistency Across Platform,"Discussion on ensuring link styles are consistent across SM Pro platform, specifically addressing dashed vs. non-dashed styles in brand kit and website links.",SM Pro;link style;dashed links;brand kit;component style,Abdurrahman,1,2025-12-11T20:24:52.98Z,2025-12-11T20:24:53.836Z
02f15f35-0577-4860-96c6-930c3f792571,Stacked Marketer - Newsletter Subscription to WHAT THE AFF List Integration,Confirming the integration process for adding users who subscribe to the Stacked Marketer free newsletter to the WHAT THE AFF list on Campaign Monitor (CM).,Stacked Marketer;newsletter;subscription;WHAT THE AFF;Campaign Monitor;integration,Parnia;Manu;Abdurrahman,3,2025-12-11T21:11:32.262Z,2025-12-11T21:12:12.619Z
03387707-bb37-4f04-b13f-c403c2660db7,SM Pro - Campaign Link Custom Query Validation,Discussion on validating the addition of a custom query to campaign links in the 'You Signed Up For This' feature to track content during the user journey.,SM Pro;signup flow;landing page;optimization;user journey,Abdurrahman,2,2025-12-11T21:07:50.753Z,2025-12-11T21:08:02.064Z
03e65d57-2b3d-44ee-8d24-35604a943e45,Course Visibility Issue on Stacked Marketer Page,Investigate the issue where a newly released course is not showing up on the Stacked Marketer courses page. Determine if there is a limit to the number of courses displayed or if there is another underlying issue.,course visibility;Stacked Marketer;course limit;display issue,Manu,1,2025-12-11T20:48:56.846Z,2025-12-11T20:48:57.921Z
04da0207-2da5-4751-936e-fc151a755b08,Production Deployment - Upcoming Content and User Redirection,"Tasks ready for production deployment: 1) Upcoming content updates, 2) Redirecting logged-out users from account page to login page. Decision needed on staging check or direct live deployment.",production deployment;upcoming content;user redirection;staging;live deployment,Masoud Tahsiri;Manu,2,2025-12-11T20:41:56.989Z,2025-12-11T20:42:05.462Z
04f79545-89e9-421e-827c-183cb0072f43,Optimize Load Speed for Newsletter Signup Pages,"Investigate and resolve the slow loading time issue on the newsletter signup pages. Gather information on specific cases such as device type, browser, and user status to replicate the issue.",optimize;load speed;newsletter;signup pages;performance,Parnia,1,2025-12-11T20:30:20.494Z,2025-12-11T20:30:21.386Z
05125fb1-5e5e-46c2-a1ce-d7b654441e10,Staging Environment - Automation Flow Implementation and QA Updates,"Updates on the automation flow implementation on the staging environment, including QA approval, minor fixes, and addressing internal challenges causing delays. Ensures readiness for production deployment.",staging;production;deployment;persistence;bug fixes;adjustments,Manu;Parnia,4,2025-12-11T20:00:41.957Z,2025-12-11T21:48:18.546Z
05381bec-2af5-48c7-bb6e-d47679d5f1ed,Refactored Website - Feedback Document Comments,Ensure comments are added to the feedback document for the refactored website to track new items and relay feedback to the team effectively.,refactored website;local copy;development progress;website progress,Manu;Parnia,11,2025-12-11T21:02:27.572Z,2025-12-11T21:29:45.725Z
06243143-c263-43a4-9876-fa3505d4c0d5,Course Offering Planning for Next 12 Months,Discussion on the expected number of courses to be offered over the next 12 months and related planning considerations.,course planning;course limit;next 12 months;course offering,Manu,1,2025-12-11T21:13:36.111Z,2025-12-11T21:13:37.393Z
06379b13-84b3-4293-b3e1-052289724933,Email Preference Center - Token Permission Error,"Investigate the issue where a subscriber's token does not work, resulting in a 'Sorry, you don’t have permission' message when attempting to change their email. This appears to be an edge case as manual updates were required.",Email Preference Center;token;permission error;edge case;manual update,Manu,1,2025-12-11T20:28:45.128Z,2025-12-11T20:28:46.115Z
06a2c8f4-8fcc-4be0-a1f1-17e539bee99f,Offer Wall Analytics Update Without Survey,Discussion and prioritization of updating the Offer Wall Analytics to function immediately after signup without requiring a survey. This task is prioritized alongside planned plugin updates.,Offer Wall Analytics;subscription;survey;data collection,Manu,2,2025-12-11T20:56:20.88Z,2025-12-11T20:56:37.018Z
080eec95-3b3a-470b-8829-57e67a710006,AutoPub - JavaScript Error in Template Preview,"Investigate the error occurring when creating a preview in AutoPub, which is caused by JavaScript in the template. This issue needs to be addressed to ensure smooth preview generation without errors.",AutoPub;template;JavaScript;preview;error,Manu;Parnia,2,2025-12-11T21:30:22.395Z,2025-12-11T21:31:04.359Z
